index,uids,synonyms,common_name,ignore,umls_cuis,model_relevance_bucket,freq
145,"[57426, 14871]","['gastroparesis', 'diabetic gastroparesis', 'delayed gastric emptying']",gastroparesis,0,"['C0267176', 'C0152020']",63,0.0014500282621272946
146,"[8328, 4290]","['rhd', 'cardiac disease', 'heart disease', 'rheumatic heart disease', 'card', 'rheumatoid heart disease', 'cardiac diseases', 'cardiac dis', 'heart trouble']",cardiac disease,0,"['C0035439', 'C0018799']",8,0.00190998814343276
147,[4784],"['orthostatic hypotension', 'postural hypotension']",orthostatic hypotension,0,['C0020651'],78,0.00036508856881756527
148,[16896],"['chronic hypotension', 'hypotension']",chronic hypotension,0,['C0155800'],78,0.0001279998934969884
149,[1759],"['TIA', 'transient ischemic attack', 'TIAs', 'transient ischemic attacks']",transient ischemic attack,0,['C0007787'],40,0.0008094484897715079
150,[9942],"['upper gastrointestinal bleed', 'ugi bleed', 'upper gastrointestinal bleeding']",upper gastrointestinal bleed,0,['C0041909'],72,0.0001908947008223304
151,[3957],"['gastrointestinal bleed', 'gastrointestinal bleeding']",gastrointestinal bleed,0,['C0017181'],72,0.0009614627642472633
152,[5445],['acute lymphocytic lekemia'],acute lymphocytic leukemia,1,['C0023449'],37,1.216080060225405e-05
153,[5439],"['CLL', 'chronic lymphocytic leukemia', 'chronic lymphoid leukemia', 'lymphocytic lymphoma', 'small cell lymphoma']",chronic lymphocytic leukemia,0,['C0023434'],37,0.0009615310354085392
154,[9084],"['PTSD', 'posttraumatic stress disorder', 'post-traumatic stress disorder', 'post traumatic stress disorder']",ptsd,0,['C0038436'],9,0.002355312394539724
155,[6842],['osteoporosis'],osteoporosis,0,['C0029456'],65,0.003153607083337796
156,[7365],"['peritoneal dialysis', 'PD']",peritoneal dialysis,0,['C0031139'],75,0.00022933989851577216
157,"[2709, 4375]","['dialysis', 'hemodialysis']",dialysis,0,"['C0011946', 'C0019004']",75,0.0041870703210455645
158,"[17531, 8942, 17527]","['spinal stenosis', 'lumbar spinal stenosis', 'cervical spinal stenosis', 'cervical spine stenosis', 'spinal stenoses']",spinal stenosis,0,"['C0158288', 'C0037944', 'C0158280']",74,0.00159698193677348
159,[5238],"['renal transplant', 'kidney transplant', 'renal transplants', 'kidney transplants', 'renal transplantation', 'renal graft']",renal transplant,0,['C0022671'],67,0.0019043472387323464
160,[720],"['AS', 'aortic stenosis', 'aortic valve stenosis']",aortic stenosis,0,['C0003507'],93,0.0006117096050312774
161,[718],"['AI', 'aortic insufficiency', 'aortic regurgitation', 'aortic valve insufficiency']",aortic insufficiency,0,['C0003504'],3,0.00043924811775341633
162,"[6134, 6135]","['mitral regurgitation', 'mitral valve prolapse', 'mitral prolapse', 'mitral insufficiency', 'mitral valve insufficiency', 'mitral valve regurgitation']",mitral regurgitation,0,"['C0026266', 'C0026267']",3,0.000999600741714964
163,[6137],"['mitral stenosis', 'mitral valve stenosis']",mitral stenosis,0,['C0026269'],3,6.059918952744281e-05
164,[9766],"['tricuspid regurgitation', 'tricuspid insufficiency', 'tricuspid valve regurgitation']",tricuspid regurgitation,0,['C0040961'],3,0.0002197478003565205
165,[4310],"['valvular heart disease', 'cardiac valvular disease']",valvular heart disease,0,['C0018824'],8,8.388818941765423e-05
166,[9150],"['suicide attempts', 'suicide attempt', 'attempted suicide']",suicide attempts,0,['C0038663'],4,0.0012163190092898705
167,"[7632, 7629]","['pneumonia', 'pna', 'aspiration pneumonia', 'pneumonias', 'pneumonitis', 'aspiration pneumonias', 'aspiration pneumonitis', 'lung inflammation']",pneumonia,0,"['C0032290', 'C0032285']",79,0.004124755818591065
168,"[217424, 7826, 1606]","['cardiomyopathy', 'dilated cardiomyopathy', 'idiopathic cardiomyopathy', 'cardiomyopathies', 'idiopathic cardiomegaly', 'cardiomyopathy congestive']",cardiomyopathy,0,"['C0878544', 'C0033141', 'C0007193']",8,0.0011236067722773173
169,[13346],"['chills', 'shaking chills', 'chill']",chills,1,['C0085593'],71,0.004389067619470372
170,"[13416, 3947, 3950]","['gastritis', 'gastroenteritis', 'chronic gastritis', 'gastritis nos']",gastritis,0,"['C0085695', 'C0017152', 'C0017160']",58,0.001975784475112324
171,[1923],"['gallstones', 'cholelithiasis', 'gallstone', 'gall stones', 'biliary stones', 'gallbladder stones', 'gallstone disease', 'gallbladder calculus', 'gallbladder stone']",gallstones,0,['C0008350'],31,0.0008012559504184106
172,"[19608, 4484, 4454]","['herniation', 'hernia', 'ventral hernia', 'hernias', 'herniations', 'abdominal hernia', 'abdominal wall hernia', 'abdomen hernia', 'internal hernia', 'abdominal hernias', 'ventral hernias']",herniation,0,"['C0178282', 'C0019326', 'C0019270']",111,0.0022279952126554935
173,[4464],"['inguinal hernia', 'inguinal hernias']",inguinal hernia,0,['C0019294'],111,0.00015665671344251058
174,[8227],['rehab'],rehab,0,['C0034991'],18,0.005400556077142487
175,"[78210, 9903]","['ulcers', 'ulcer', 'chronic ulcer', 'chronic ulcers', 'ulcerative', 'ulcerations', 'ulceration', 'ulcerated', 'ulcerative lesion']",ulcers,0,"['C0333297', 'C0041582']",81,0.003753676455371547
176,"[27819, 5804, 5803, 5799]","['mastectomy', 'lumpectomy', 'bilateral mastectomy', 'partial mastectomy', 'segmentectomy', 'total mastectomy', 'bilateral mastectomies', 'lumpectomies', 'mastectomies', 'unilateral mastectomy']",mastectomy,0,"['C0191877', 'C0024886', 'C0024885', 'C0024881']",102,0.0014936450002873787
177,[13531],"['TKR', 'total knee replacement', 'knee replacement', 'knee replacements', 'knee arthroplasty', 'total knee arthroplasty', 'total knee replacements']",total knee replacement,0,['C0086511'],98,0.0015107042567111724
178,[93898],"['hip replacement', 'hip replacements']",hip replacement,0,['C0392806'],98,0.0002906388674462921
179,"[5384, 7066, 177581, 177582]","['leg pain', 'extremity pain', 'left leg pain', 'right leg pain', 'lower leg pain', 'left lower leg pain', 'pain in left leg', 'limb pain', 'pain in right leg']",leg pain,0,"['C0023222', 'C0030196', 'C0564822', 'C0564823']",14,0.0024335682131521237
180,"[101016, 2153, 52011]","['colitis', 'collagenous colitis', 'lymphocytic colitis']",colitis,0,"['C0400822', 'C0009319', 'C0238067']",57,0.0014951213641499685
181,[19017],"['ischemic colitis', 'ischaemic colitis', 'colonic ischemia']",ischemic colitis,0,['C0162529'],57,0.00012295636145773776
182,[739],"['appendectomy', 'appy', 'appendicectomy']",appendectomy,0,['C0003611'],137,0.000938788204808534
183,"[1592, 14275, 14324, 14867]","['nsclc', 'small cell lung cancer', 'non-small cell lung cancer', 'squamous cell lung cancer', 'sclc', 'nonsmall cell lung cancer', 'lung adenocarcinoma', 'adenocarcinoma of the lung', 'small cell carcinoma', 'squamous cell carcinoma of the lung', 'small cell lung carcinoma', 'non small cell lung cancer', 'non-small cell lung carcinoma', 'adenocarcinoma of lung', 'adenocarcinoma lung', 'pulmonary adenocarcinoma', 'small cell cancer of the lung']",nsclc,0,"['C0007131', 'C0149782', 'C0149925', 'C0152013']",37,0.0006089872924754043
184,[1596],"['squamous cell carcinoma', 'squamous cell cancer', 'squamous carcinoma', 'squamous cell carcinomas', 'squamous carcinomas']",squamous cell carcinoma,0,['C0007137'],37,0.0004121956700978757
185,"[52744, 13001, 13002, 5678, 5679, 13008, 5681, 79286, 1405]","['lymphoma', 'b cell lymphoma', ""non-hodgkin's lymphoma"", 'follicular lymphoma', 'mantle cell lymphoma', 'b-cell lymphoma', 'dlbcl', 'marginal zone lymphoma', 'non-hodgkins lymphoma', ""burkitt's lymphoma"", 't-cell lymphoma', 'diffuse large b cell lymphoma', ""nonhodgkin's lymphoma"", 't cell lymphoma', 'non-hodgkin lymphoma', 'diffuse large b-cell lymphoma', 'non hodgkins lymphoma', 'burkitts lymphoma', 'malt lymphoma', ""non hodgkin's lymphoma"", 'nonhodgkins lymphoma', ""b-cell non-hodgkin's lymphoma"", 'burkitt lymphoma', 'marginal zone b-cell lymphoma', 'maltoma']",lymphoma,0,"['C0242647', 'C0079731', 'C0079744', 'C0024299', 'C0024301', 'C0079772', 'C0024305', 'C0334634', 'C0006413']",37,0.0021060629186168927
186,"[55632, 4409, 55627]","['hemorrhoids', 'internal hemorrhoids', 'hemorrhoid', 'external hemorrhoids', 'internal hemorrhoid', 'external hemorrhoid']",hemorrhoids,0,"['C0265040', 'C0019112', 'C0265034']",88,0.0016886701063668964
187,"[52700, 7190]","[""parkinson's"", ""parkinson's disease"", 'parkinsons', 'parkinsonism', 'parkinsons disease', 'parkinson disease', ""idiopathic parkinson's disease"", ""parkinson's syndrome"", 'parkinsonian syndrome']",parkinson's,0,"['C0242422', 'C0030567']",33,0.00021675240315554428
188,[8672],"['STD', 'vd', 'STDs', 'STIs', 'sexually transmitted disease', 'sexually transmitted diseases', 'sexually transmitted infections', 'venereal disease', 'sexually transmitted infection', 'venereal diseases']",stds,0,['C0036916'],85,0.0010778053569564067
189,[3036],"['eating disorder', 'eating disorders']",eating disorder,0,['C0013473'],9,0.0008974926861318273
190,"[617, 618]","['anorexia', 'anorexia nervosa', 'loss of appetite']",anorexia,0,"['C0003123', 'C0003125']",9,0.0010769263657549807
191,[1392],"['bulimia', 'binge eating']",bulimia,0,['C0006370'],9,0.0002477560442699225
192,"[224944, 322249, 224946, 224945]","['diastolic heart failure', 'systolic heart failure', 'chronic systolic congestive heart failure', 'chronic diastolic heart failure', 'chronic diastolic congestive heart failure', 'chronic systolic heart failure']",diastolic heart failure,0,"['C1135191', 'C2711480', 'C1135196', 'C1135194']",8,0.0005022111962400341
193,"[216667, 19133, 19134, 711]","['aaa', 'abdominal aortic aneurysm', 'aortic aneurysm', 'ascending aortic aneurysm', 'thoracic aortic aneurysm', 'thoracic aneurysm', 'abdominal aneurysm', 'aneurysm thoracic', 'aortic aneurysms']",abdominal aortic aneurysm,0,"['C0856747', 'C0162871', 'C0162872', 'C0003486']",94,0.0007052496298742997
194,[3200],['endometriosis'],endometriosis,0,['C0014175'],87,0.0006176833316429109
195,[104191],['chronic pelvic pain'],chronic pelvic pain,0,['C0404484'],115,0.00010437807169555739
196,"[49328, 134697, 51596]","['chest pressure', 'chest tightness', 'chest discomfort', 'discomfort in chest', 'tightness in chest']",chest pressure,0,"['C0232292', 'C0438716', 'C0235710']",38,0.002124922826919336
197,"[3827, 3828]","['fracture', 'fractures', 'fractured', 'bone fractures', 'bone fracture', 'broken bones', 'broken bone']",fracture,0,"['C0016655', 'C0016658']",92,0.003678049076468266
198,[3831],"['pathologic fractures', 'pathologic fracture', 'pathologic fx', 'pathological fracture']",pathologic fractures,0,['C0016663'],92,5.751845337487178e-05
199,[3710],"['fistula', 'sinus', 'fistulas', 'sinuses']",fistula,0,['C0016169'],90,0.007581538061364424
200,"[17577, 51532, 78161, 3062, 51640, 186493, 192638]","['edema', 'leg swelling', 'lower extremity swelling', 'leg edema', 'pedal edema', 'ankle swelling', 'foot swelling', 'extremity swelling', 'pitting edema', 'edematous', 'feet swelling', 'foot edema', 'swollen legs', 'swelling of legs', 'swollen foot', 'edema of legs', 'interstitial edema', 'ankle edema', 'hydrops', 'lower extremity swollen']",edema,0,"['C0158369', 'C0235439', 'C0333243', 'C0013604', 'C0235886', 'C0574002', 'C0581394']",41,0.01353475772292977
201,"[2505, 13215]","['sudden death', 'sudden cardiac death', 'cardiac sudden death']",sudden death,0,"['C0011071', 'C0085298']",117,9.121027146448509e-05
202,[9681],"['transplant', 'transplantation']",transplant,0,['C0040732'],67,0.005325893028392228
203,"[3024, 52578, 121310]","['dysuria', 'difficulty urinating', 'pain with urination', 'burning on urination', 'burning with urination', 'difficulty voiding', 'painful urination', 'difficulty with urination', 'urinary difficulty']",dysuria,0,"['C0013428', 'C0241705', 'C0423736']",29,0.0018120190270019692
204,[6232],"['mm', 'multiple myeloma', 'myeloma', 'myeloma multiple']",multiple myeloma,0,['C0026764'],37,0.0009885834830640797
205,"[1179, 1173]","['bladder cancer', 'bladder tumor', 'cancer of bladder', 'bladder ca']",bladder cancer,0,"['C0005695', 'C0005684']",37,0.0003257729138178569
206,"[316633, 315986, 315964, 103263]","['chronic kidney disease stage 3', 'stage 4 chronic kidney disease', 'chronic kidney disease stage 4', 'chronic kidney disease stage 5', 'stage 3 chronic kidney disease', 'stage 5 chronic kidney disease', 'chronic kidney insufficiency', 'chronic renal impairment']",end-stage chronic kidney disease,0,"['C2317473', 'C2316810', 'C2316787', 'C0403447']",24,0.0006551215297075345
207,[4364],"['hematuria', 'blood in urine']",hematuria,1,['C0018965'],29,0.0015120696799366888
208,"[211572, 4415]","['lovenox', 'heparin']",lovenox,1,"['C0728963', 'C0019134']",20,0.003520948600477463
209,"[163468, 8780, 734]","['sleep apnea', 'obstructive sleep apnea', 'apnea', 'sleep-disordered breathing', 'respiratory arrest', 'sleep disordered breathing', 'apneic', 'osahs']",sleep apnea,0,"['C0520679', 'C0037315', 'C0003578']",101,0.0055867656695222645
210,"[52473, 52474]","['left shoulder pain', 'right shoulder pain', 'right shoulder joint pain']",left shoulder pain,0,"['C0241039', 'C0241040']",14,0.000972667768591656
211,[8699],"['shoulder pain', 'pain in shoulder']",shoulder pain,0,['C0037011'],14,0.001603587171626915
212,"[195985, 8550]","['sciatica', 'chronic sciatica', 'sciatia']",sciatica,0,"['C0585052', 'C0036396']",14,0.0008695185777990633
213,"[336, 51738]","['dts', 'delirium tremens', 'alcohol withdrawal', 'delerium tremens', 'alcohol withdrawal delirium', 'alcohol withdrawal syndrome']",delirium tremens,0,"['C0001957', 'C0236663']",18,0.0006146623327564563
214,[197013],"['alcohol withdrawal seizures', 'alcohol withdrawal seizure', 'alcoholic seizures']",alcohol withdrawal seizures,0,['C0586323'],18,3.114871733208932e-05
215,"[39857, 5634, 213658]","['ild', 'pulmonary disease', 'lung disease', 'interstitial lung disease', 'chronic lung disease']",pulmonary disease,0,"['C0206062', 'C0024115', 'C0746102']",11,0.0046176992046879075
216,[14849],"['DVTs', 'deep venous thrombophlebitis']",dvts,0,['C0151950'],21,0.0002469879937055696
217,[5641],['lupus'],lupus,1,['C0024131'],84,0.0
218,"[8497, 8500]","['sarcoidosis', 'sarcoid', 'pulmonary sarcoidosis', 'lung sarcoid', 'pulm sarcoidosis']",sarcoidosis,0,"['C0036202', 'C0036205']",97,0.0009752706066152963
219,[217560],"['highly active antiretroviral therapy', 'haart']",highly active antiretroviral therapy,0,['C0887947'],28,0.0004571948992737954
220,"[320550, 4251, 1998, 8334, 239095]","['seasonal allergies', 'allergic rhinitis', 'rhinorrhea', 'chronic rhinitis', 'runny nose', 'rhinitis', 'seasonal allergy', 'hayfever', 'hay fever', 'nasal drip', 'running nose', 'allergic rhinosinusitis']",seasonal allergies,0,"['C2607914', 'C0018621', 'C0008711', 'C0035455', 'C1260880']",135,0.002880198150218487
221,[4038],['glaucoma'],glaucoma,0,['C0017601'],95,0.0007833945078496263
222,"[312171, 7011]","['ovarian cysts', 'ovarian cyst', 'left ovarian cyst']",ovarian cysts,0,"['C2016031', 'C0029927']",96,0.0005288881525085577
223,[5890],"['melanoma', 'malignant melanoma', 'cutaneous melanoma', 'malignant melanomas', 'melanomas']",melanoma,0,['C0025202'],37,0.0011699287552029561
224,[33595],"['abdomen surgeries', 'abdominal surgery', 'abdomen surgery', 'abdominal operations']",abdomen surgeries,0,['C0198482'],99,0.00011167455205690982
225,[10076],"['venous stasis', 'venous stasis ulcers', 'venous stasis ulcer', 'stasis ulcers', 'venous ulcer', 'venous ulcers', 'stasis ulcer']",venous stasis,0,['C0042344'],21,0.0006020407018155902
226,"[5010, 13131, 301578]","['PAD', 'peripheral arterial disease', 'peripheral vascular disease', 'claudication', 'peripheral artery disease', 'intermittent claudication']",peripheral arterial disease,0,"['C0021775', 'C0085096', 'C1704436']",2,0.00231167858858932
227,"[6836, 1997]","['osteomyelitis', 'chronic osteomyelitis']",osteomyelitis,0,"['C0029443', 'C0008707']",86,0.0008804078280225553
228,"[29720, 29722, 6467]","['nephrectomy', 'partial nephrectomy', 'bilateral nephrectomy', 'bilateral total nephrectomy', 'nephrectomies']",nephrectomy,0,"['C0194084', 'C0194086', 'C0027695']",103,0.0005519382033343038
229,[578],"['aneurysm', 'aneurysms', 'dilatation']",aneurysm,0,['C0002940'],94,0.0010622565999758406
230,[19131],"['aneurysm rupture', 'ruptured aneurysm']",aneurysm rupture,0,['C0162869'],94,2.092511093103644e-05
231,[164994],"['stent placement', 'placement of stent']",stent placement,0,['C0522776'],100,0.0003522535904977125
232,"[13352, 84263, 213647, 5583]","['liver disease', 'liver failure', 'end-stage liver disease', 'chronic liver disease', 'end stage liver disease', 'chronic hepatitis', 'liver disorders', 'hepatopathy', 'hepatic failure', 'chronic liver failure', 'liver diseases', 'disease of liver', 'hepatic diseases', 'hepatic disease']",liver disease,0,"['C0085605', 'C0341439', 'C0745744', 'C0023895']",32,0.007830608325488906
233,[101134],"['nafld', 'non-alcoholic fatty liver disease', 'nonalcoholic fatty liver', 'nonalcoholic fatty liver disease', 'non-alcoholic fatty liver']",nafld,0,['C0400966'],32,4.6799881054569264e-05
234,"[139356, 5605, 4830]","['ileostomy', 'loop ileostomy', 'diverting colostomy']",ileostomy,0,"['C0444911', 'C0023985', 'C0020883']",89,0.0008115478279807391
235,[201349],['plavix'],plavix,1,['C0633084'],10,0.0015589805016283313
236,"[1988, 1364]","['chronic bronchitis', 'bronchitis']",chronic bronchitis,0,"['C0008677', 'C0006277']",79,0.0012046787762923445
237,"[1211, 1212]","['coagulopathy', 'clotting', 'clotting disorder', 'clotting disorders', 'bleeding disorders', 'coagulation', 'bleeding disorder', 'bleeding diathesis', 'coagulopathies', 'coagulation disorders']",coagulopathy,0,"['C0005778', 'C0005779']",45,0.0002816612097385227
238,"[13585, 7111]","['panic attacks', 'panic disorder', 'panic attack', 'panic disorders']",panic attacks,0,"['C0086769', 'C0030319']",9,0.0011596710132212652
239,"[5392, 10009]","['fibroids', 'uterine fibroids', 'fibroid uterus', 'fibroid', 'uterine fibroid', 'uterine fibroma', 'fibroid tumors', 'uterine leiomyoma', 'leiomyoma', 'fibroid tumor']",fibroids,0,"['C0023267', 'C0042133']",87,0.0015898988037911144
240,"[88491, 51659, 67149]","['pancreatic cancer', 'metastatic pancreatic cancer', 'pancreatic adenocarcinoma', 'pancreatic cancer metastatic', 'adenocarcinoma of the pancreas', 'pancreatic carcinoma']",pancreatic cancer,0,"['C0346976', 'C0235974', 'C0281361']",37,0.00046987626748077753
241,[4354],"['hematoma', 'hematomas', 'haematoma']",hematoma,0,['C0018944'],44,0.0008668986719851039
242,"[4355, 52039]","['subdural hematoma', 'subdural hematomas', 'subdural hemorrhage', 'epidural hematoma', 'subdural hemorrhages', 'epidural hematomas', 'epidural bleeding']",subdural hematoma,0,"['C0018946', 'C0238154']",44,0.000194880029861806
243,[5589],"['liver transplant', 'liver graft', 'liver transplantation', 'liver transplants']",liver transplant,0,['C0023911'],67,0.0010086808061646466
244,"[9979, 9980]","['urinary incontinence', 'bladder incontinence', 'stress incontinence', 'incontinent of urine', 'urinary stress incontinence', 'stress urinary incontinence', 'loss of bladder control', 'involuntary urination', 'incontinence of urine', 'urine incontinence']",urinary incontinence,0,"['C0042024', 'C0042025']",29,0.0012154485519836036
245,"[13027, 7612]","['pleural effusion', 'pleural effusions', 'malignant pleural effusion', 'malignant pleural effusions', 'malignant effusion']",pleural effusion,0,"['C0080032', 'C0032227']",106,0.0009177948227162221
246,"[58161, 4769]","['hyponatremia', 'chronic hyponatremia']",hyponatremia,0,"['C0268007', 'C0020625']",113,0.0006163691117883513
247,[967],"['bacteremia', 'bacteremias']",bacteremia,0,['C0004610'],66,0.0009712596758903424
248,[6275],['myasthenia'],myasthenia,0,['C0026896'],104,0.0
249,[240510],"['attention deficit-hyperactivity disorder', 'attention deficit/hyperactivity disorder', 'hyperactivity disorder', 'attention deficit disorder', 'adhd', 'attention deficit', 'attention deficit hyperactivity disorder', 'mbd']",attention deficit-hyperactivity disorder,0,['C1263846'],105,0.0005345973283702475
250,[3184],['endocarditis'],endocarditis,0,['C0014118'],108,0.00037181327820323283
251,[330618],"['mva', 'motor vehicle accident']",motor vehicle accident,0,['C2939181'],48,0.0014039452282661213
252,[1700],"['celiac disease', 'celiac', 'celiac sprue', 'gluten intolerance', 'sprue', 'gluten sensitive enteropathy', 'coeliac disease']",celiac disease,0,['C0007570'],109,0.0008233928744620926
253,[2530],"['dysphagia', 'difficulty swallowing', 'swallowing difficulties', 'poor swallowing', 'difficulty in swallowing', 'difficult swallowing', 'swallowing difficulty']",dysphagia,0,['C0011168'],110,0.0014545256248763385
254,[8962],['splenectomy'],splenectomy,0,['C0037995'],137,0.000395904464238435
255,[4485],"['hernia repair', 'hernia repairs', 'repair of hernia', 'herniorrhaphy']",hernia repair,0,['C0019328'],111,0.0005739300511602747
256,[1226],"['transfusion', 'transfusions', 'blood transfusion', 'blood transfusions']",transfusion,0,['C0005841'],112,0.0018242737004509784
257,"[167584, 9306, 9302]","['avnrt', 'atrial tachycardia', 'sinus tachycardia', 'sinus tach', 'sinus tachy', 'av nodal reentrant tachycardia', 'atrial tachycardias']",avnrt,0,"['C0546959', 'C0039239', 'C0039232']",7,0.0005004446799420225
258,[10125],"['vt', 'ventricular tachycardia', 'v tach', 'v.tach', 'ventricular tachyarrhythmia', 'tachycardia']",ventricular tachycardia,0,['C0042514'],7,0.00048685018495297626
259,"[9851, 297630]","['tb', 'tuberculosis', 'latent tuberculosis', 'ltbi', 'active tuberculosis', 'latent tuberculosis infection']",tuberculosis,0,"['C0041296', 'C1609538']",120,0.0010312188232808244
260,[855],"['assault', 'attacked', 'assaults']",assault,0,['C0004063'],17,0.0006270962180038135
261,"[10315, 116639]","['stabbing', 'stab wound', 'stab wounds', 'stab', 'stabbed', 'knife wound']",stabbing,0,"['C0043255', 'C0418391']",48,0.0004689034034325972
262,"[51554, 4292]","['HF', 'right heart failure', 'right sided heart failure', 'right ventricular failure']",right heart failure,0,"['C0235527', 'C0018801']",8,0.0018659873799904995
263,[225031],['ovarian cancer'],ovarian cancer,0,['C1140680'],37,0.0005329161510238306
264,"[164179, 13542]","['cataracts', 'cataract', 'bilateral cataract', 'bilateral cataracts']",cataracts,0,"['C0521707', 'C0086543']",95,0.001168375586283931
265,[1656],"['cataract surgery', 'cataract surgeries', 'cataract extraction', 'cataracts surgery']",cataract surgery,0,['C0007389'],95,6.433703560729353e-05
266,[7665],"['polycystic ovarian syndrome', 'polycystic ovary syndrome', 'pcos', 'polycystic ovaries', 'polycystic ovarian disease']",polycystic ovarian syndrome,0,['C0032460'],114,0.00023968297944905768
267,[2466],"['cyst', 'cysts']",cyst,0,['C0010709'],96,0.002526203645108241
268,[4257],"['head trauma', 'head injury', 'head injuries', 'head inj', 'head traumas']",head trauma,0,['C0018674'],50,0.001329999026709257
269,"[4225, 50507, 50508]","['hallucinations', 'auditory hallucinations', 'visual hallucinations', 'hallucinating', 'hallucination', 'auditory hallucination', 'hallucinate', 'hallucinations auditory']",hallucinations,0,"['C0018524', 'C0233762', 'C0233763']",9,0.0015903681680248859
270,[18969],"['iron deficiency anemia', 'iron def anemia', 'iron deficiency', 'iron-deficiency anemia', 'fe deficiency anemia', 'iron defic anemia']",iron deficiency anemia,0,['C0162316'],39,0.0007224624964109638
271,[1582],"['rectal cancer', 'rectal carcinoma']",rectal cancer,0,['C0007113'],37,0.0002854929286651277
272,[88490],"['metastatic rectal cancer', 'rectal cancer metastatic']",metastatic rectal cancer,0,['C0346975'],37,2.577236338161911e-05
273,[6006],['methadone'],methadone,1,['C0025605'],18,0.001686289149617402
274,"[372612, 57911]","['hiatal hernia', 'paraesophageal hernia', 'hiatal hernias']",hiatal hernia,0,"['C3489393', 'C0267725']",111,0.0005277872800329851
275,"[82081, 66730]","['altered mental status', 'AMS', 'cognitive impairment', 'impaired cognition', 'cognitive decline', 'cognitive deficits', 'cognitive dysfunction', 'cognitive impairments', 'cognitive deficit', 'cognitive defects']",altered mental status,0,"['C0338656', 'C0278061']",9,0.0009103788678226368
276,[2174],"['colostomy', 'colostomies']",colostomy,0,['C0009410'],89,0.0005553858969787323
277,[216530],"['artery disease', 'arterial disease']",artery disease,0,['C0852949'],2,0.0010662333951201566
278,[1797],"['c-section', 'c section', 'cesarean section', 'c sections', 'cesarian section', 'cesarean sections']",c-section,0,['C0007876'],118,0.0005544044990353925
279,"[13356, 126007]","['bradycardia', 'sinus bradycardia', 'bradyarrhythmia', 'low heart rate', 'bradycardias', 'low pulse rate']",bradycardia,0,"['C0085610', 'C0428977']",7,0.0008376359454832588
280,[34468],"['continuous positive airway pressure', 'cpap']",continuous positive airway pressure,0,['C0199451'],101,0.0038393055594017353
281,[48710],"['myalgias', 'myalgia', 'muscle aches', 'muscle pain', 'muscular pain', 'muscle ache', 'muscle soreness', 'muscle pains']",myalgias,0,['C0231528'],83,0.0014367836568397866
282,"[124316, 3548]","['facial droop', ""bell's palsy"", 'facial weakness', 'facial paralysis', 'facial palsy', 'facial nerve palsy', 'facial nerve paralysis', 'facial paresis']",facial droop,0,"['C0427055', 'C0015469']",34,0.00047852110327732726
283,[5018],"['herniated disc', 'herniated discs', 'herniated disk', 'herniated disks', 'slipped discs', 'slipped disc', 'slipped disk']",herniated disc,0,['C0021818'],86,0.0002132535061401589
284,[5919],"['meningioma', 'meningiomas', 'mengioma', 'menigioma']",meningioma,0,['C0025286'],37,0.0003783843774760297
285,[2166],"['colonic polyps', 'colon polyps', 'colon polyp', 'colonic polyp']",colonic polyps,0,['C0009376'],119,0.0005491390857219955
286,[5668],"['lymphedema', 'lymph edema']",lymphedema,0,['C0024236'],37,0.00044150106607551806
287,"[6104, 122092, 5948]","['mental retardation', 'developmental delay', 'mild mental retardation', 'development delay']",mental retardation,0,"['C0026106', 'C0424605', 'C0025362']",50,0.0005159934369225887
288,"[155169, 5898]","['melena', 'black stools', 'dark stools', 'black stool', 'dark stool', 'tarry stools', 'black tarry stools', 'tarry stool', 'black tarry stool']",melena,1,"['C0474585', 'C0025222']",121,0.0008410665713373685
289,"[1914, 14179, 13415]","['cholecystitis', 'chronic cholecystitis', 'acute cholecystitis', 'gallbladder inflammation']",cholecystitis,0,"['C0008325', 'C0149520', 'C0085694']",31,0.0002863548520762348
290,[9051],"['gastric ulcer', 'gastric ulcers', 'stomach ulcer', 'stomach ulcers', 'gastric ulcerations', 'gastric ulceration']",gastric ulcer,0,['C0038358'],81,0.00018978529445159843
291,[7296],"['peptic ulcer disease', 'peptic ulcer', 'ulcer disease', 'peptic ulcers', 'gastroduodenal ulcers']",peptic ulcer disease,0,['C0030920'],81,0.0005547629226320905
292,[4532],"['hip fracture', 'hip fx', 'hip fractures', 'broken hip']",hip fracture,0,['C0019557'],92,0.000394632913859673
293,"[13024, 29488, 9516]","['thyroidectomy', 'parathyroidectomy', 'total thyroidectomy']",thyroidectomy,0,"['C0079989', 'C0193788', 'C0040145']",25,0.0005121702518911432
294,[7332],['pericarditis'],pericarditis,0,['C0031046'],108,0.00024155190248898305
295,[6839],['osteopenia'],osteopenia,0,['C0029453'],65,0.0019642039793809143
296,[2094],"['clotrimazole', 'clot']",clot,1,['C0009074'],45,0.0008571870992936196
297,[106093],['chronic lupus erythematosus'],chronic lupus erythematosus,0,['C0406633'],84,4.458106831310537e-05
298,[4395],"['hemoptysis', 'coughing up blood', 'bloody sputum', 'spitting up blood', 'hematemesis', 'blood streaked sputum', 'coughing blood', 'spit up blood', 'blood spitting up']",hemoptysis,0,['C0019079'],79,0.0005809449129813645
299,[5438],['leukemia'],leukemia,0,['C0023418'],37,0.0007772586372299624
300,[7016],"['overdose', 'overdoses', 'drug overdose']",overdose,0,['C0029944'],18,0.0008117697092548858
301,"[205914, 3878]",['lasix'],lasix,1,"['C0699992', 'C0016860']",95,0.006724956868627128
